koer,kohtunik,grade,predicted
Alppililja Ancelina,Dubravka Reicher,4.0,1
Alppililja Ancelina,Giuliano Biasiolo,13.0,1
Alppililja Ancelina,Anna Kochan,13.0,1
Alppililja Ancelina,Oleg Yanchev,13.0,1
Alppililja Ancelina,Ludmila Krakovskaya,13.0,1
Alppililja Ancelina,Vladimir Piskay,4.0,1
Alppililja Ancelina,Petrus Roosenboom,4.0,1
Alppililja Ancelina,Guenther Ehrenreich,4.0,1
Alppililja Ancelina,Andi Hudono,13.0,1
Alppililja Ancelina,Andrzej Stepinski,13.0,1
Alppililja Ancelina,Jari Laakso,4.0,1
Alppililja Ancelina,Paul Lawless,4.0,1
Alppililja Ancelina,Uschi Eisner,4.0,1
Alppililja Ancelina,Norman Deschuymere,13.0,1
Alppililja Ancelina,John Muldoon,13.0,1
Alppililja Ancelina,Maite Gonzalbo Lorenzo,4.0,1
Alppililja Ancelina,Sunde Marit,4.0,1
Alppililja Ancelina,Per Kristian Andersen,13.0,1
Alppililja Ancelina,Astrid Lundava,13.0,1
Alppililja Ancelina,Christian Jouanchicot,13.0,1
Alppililja Ancelina,Dick Baars,4.0,1
Alppililja Ancelina,John Williams,4.0,1
Alppililja Ancelina,Zoltan Baffia,4.0,1
Alppililja Ancelina,Antoan Hlebarov,13.0,1
Alppililja Ancelina,Maija Heinilä,13.0,1
Alppililja Ancelina,Hans Bierwolf,13.0,1
Alppililja Ancelina,Michael Leonard,4.0,1
Alppililja Ancelina,Calin Simu,4.0,1
Alppililja Ancelina,Massimiliano Mannucci,13.0,1
Alppililja Ancelina,Anthony Kelly,13.0,1
Alppililja Ancelina,Igor Vyguzov,13.0,1
Alppililja Ancelina,Vera Smirnova,13.0,1
Alppililja Ancelina,Dirk Spruyt,4.0,1
Alppililja Ancelina,Olga Sinko Kuprianova,4.0,1
Alppililja Ancelina,Dagmar Klein,13.0,1
Alppililja Ancelina,Denis Dudko,4.0,1
Alppililja Ancelina,Wera Hübenthal,13.0,1
Alppililja Ancelina,Viachaslav Viarbitski,4.0,1
Alppililja Ancelina,Aleksandr Soroko,13.0,1
Alppililja Ancelina,Willi Güllix,4.0,1
Alppililja Ancelina,George Schogol,13.0,1
Alppililja Ancelina,Carsten Birk,4.0,1
Alppililja Ancelina,Laurent Pichard,4.0,1
Alppililja Ancelina,Olga Morozova,13.0,1
Alppililja Ancelina,Nikolina Davidovska,4.0,1
Alppililja Ancelina,Augustin Ionescu,13.0,1
Alppililja Ancelina,Andrew Brace,4.0,1
Alppililja Ancelina,Miklos Levente,13.0,1
Alppililja Ancelina,Tijana Konrad,13.0,1
Alppililja Ancelina,Simon Rooney,13.0,1
Alppililja Ancelina,Maire Tõnurist,13.0,1
Alppililja Ancelina,Søren Wesseltoft,13.0,1
Alppililja Ancelina,Hilkka Salohalla,13.0,1
Alppililja Ancelina,Johnny Andersson,13.0,1
Alppililja Ancelina,Jo Schepers,13.0,1
Alppililja Ancelina,Marja Talvitie,13.0,1
Alppililja Ancelina,Seamus Oates,13.0,1
Alppililja Ancelina,Antonio Rojo Fajardo,13.0,1
Alppililja Ancelina,Eugeny Kuplyauskas,13.0,1
Alppililja Ancelina,Des Manton,13.0,1
Alppililja Ancelina,Adolfo Martinez Noguera,13.0,1
Alppililja Ancelina,Peter van Montfoort,4.0,1
Alppililja Ancelina,Malgorzata Supronowicz,13.0,1
Alppililja Ancelina,Satu Ylä-Mononen,13.0,1
Alppililja Ancelina,Petru Muntean,13.0,1
Alppililja Ancelina,Péter Harsányi,13.0,1
Alppililja Ancelina,Monika Blaha,13.0,1
Alppililja Ancelina,Beata Petkevica,13.0,1
Alppililja Ancelina,Miroslaw Redlicki,4.0,1
Apollo Bernteam,Bo Skalin,4.0,1
Apollo Bernteam,Helen Tonkson-Koit,4.0,1
Apollo Bernteam,Liliane de Ridder-Onghena,4.0,1
Apollo Bernteam,Torsten Lemmer,13.0,1
Apollo Bernteam,Mile Aleksoski,13.0,1
Apollo Bernteam,Hans-Erhard Grüttner,13.0,1
Apollo Bernteam,Marjatta Pylvänäinen-Suorsa,13.0,1
